Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
1400 N Milwaukee Ave APT 303,,Sold,Condo,345000,08/26/18,2,2,1070,Y,450,1886
2122 W Crystal St #1W,,Sold,Condo,879900,02/07/20,3,3,No Data,Y,266,2019
1355 N Oakley Blvd,,Sold,Single Family,510000,08/15/19,4,2,990,Y,N/A,1878
1955 W Evergreen Ave,,Sold,Single Family,2110000,05/17/19,5,7,6200,Y,N/A,1885
1532 N Elk Grove Ave,,Sold,Townhouse,649000,10/28/18,3,3,1660,Y,235,1997
1457 N Wood St,,Sold,Multi Family,549000,09/20/18,1,2,No Data,Y,N/A,1910
1452 N Leavitt St #3,,Sold,Condo,1205708,06/19/20,4,3,No Data,Y,225,2019
1914 W Potomac Ave,,Sold,Single Family,1854500,12/17/19,6,6,3767,Y,272,2010
1909 W North Ave APT 2,,Sold,Condo,447500,08/14/19,2,2,,N,150,2002
2157 Potomac Ave. #APT 2,,Sold,Condo,515000,03/23/20,2,2,1250,N,N/A,Data
None,,,Single Family,N/A,"$940,460",4,4,3300,Y,N/A,1997
1530 N Wood St #2,,Sold,Condo,465000,01/08/20,2,2,No Data,Y,169,2005
1553 N Bell Ave #3M,,Sold,Condo,305000,04/02/19,1,1,950,N,247,Data
1537 N Claremont Ave #1,,Sold,Apartment,311270,01/01/19,4,2,,Y,200,1897
1440 N Wood St APT 3R,,Sold,Condo,339000,06/06/19,2,1,850,Y,120,2007
1735 W Julian St #1,,Sold,Multi Family,572000,11/19/18,3,3,2200,Y,143,2007
1750 W Division St #G-3,,Sold,Condo,25000,12/25/19,,--,,N,N/A,2005
1525 N Wicker Park Ave,,Sold,Condo,487000,02/18/19,,--,,N,N/A,1902
2154 W Division St APT 401,,Sold,Condo,805000,07/10/19,3,2,1750,Y,415,2008
None,,,Townhouse,N/A,"$614,676",3,3,2250,Y,100,2001
1217 N Honore St UNIT 1,,Sold,Condo,327000,07/09/18,2,1,1150,Y,92,1997
1734 W Julian St,,Sold,Single Family,808000,06/01/20,3,2,,Y,N/A,1893
1927 W Potomac Ave APT 1W,,Sold,Condo,625000,12/28/18,3,3,2160,Y,232,2008
1519 N Wood St #1,,Sold,Condo,650000,07/09/19,3,3,No Data,Y,250,2018
1739 W Pierce Ave #2,,Sold,Condo,640000,08/29/18,3,3,No Data,Y,200,1999
1722 W Le Moyne St #1,,Sold,Condo,606500,06/18/18,3,3,2000,Y,185,2005
1545 N Western Ave #2A,,Sold,Apartment,1100000,11/25/19,2,1,,N,N/A,1907
1217 N Honore St UNIT 2,,Sold,Apartment,336500,07/10/19,2,1,,Y,92,1996
1212 N Hoyne Ave SUITE 301,,Sold,Condo,700000,08/07/20,2,2,No Data,Y,334,2005
1330 N Wicker Park Ave,,Sold,N/A,635000,06/17/19,3,N/A,N/A,N/A,N/A,N/A
2130 W Division St APT 4W,,Sold,Condo,487500,06/27/18,3,2,1600,Y,213,2005
1638 W Le Moyne St,,Sold,Single Family,930000,08/28/20,3,3.,2528,Y,N/A,1999
1441 N Wicker Park Ave UNIT 1N,,Sold,Condo,387500,12/16/19,2,2,1500,Y,208,2004
1718 W Julian St,,Sold,Single Family,645000,10/09/19,3,2,,N,N/A,1895
1236 N Paulina St,,Sold,Multi Family,1175000,10/01/18,4,5,650,Y,N/A,1875
1346 N Claremont Ave #2N,,Sold,Condo,474000,04/23/19,2,2,No Data,Y,131,2018
1331 N Bell Ave #1,,Sold,Multi Family,22800,05/07/20,3,2,,N,N/A,1883
2136 W Evergreen Ave APT 2A,,Sold,Condo,377000,04/18/19,2,2,No Data,Y,243,1995
1346 N Hoyne Ave #2,,Sold,Condo,515000,05/28/20,2,2,1550,Y,140,2007
1346 N Claremont Ave #2S,,Sold,Condo,474900,05/29/19,2,2,No Data,Y,131,2019
1219 N Paulina St #3S,,Sold,Condo,755000,12/17/18,3,3,2600,Y,304,2004
1635 W Pierce Ave,,Sold,Multi Family,1231250,08/28/20,6,6,1500,Y,N/A,1885
